Mouse_ID,Time,State,Lifetime,Intensity
1610,2,2,4.159,2.3301
1610,2,2,4.1608,2.2914
1610,2,2,4.1928,2.5049
1610,2,2,4.1572,2.3097
1610,2,2,4.1585,2.2882
1610,2,2,4.1658,2.28305
1610,2,2,4.16955,2.2956
1610,2,2,4.15365,2.27535
1610,2,2,4.15315,2.35215
1610,2,2,4.1427,2.24655
1610,2,2,4.1475,2.2986
1610,2,2,4.1477,2.3099
1610,2,2,4.15005,2.3062
1610,2,2,4.1544,2.3271
1610,2,2,4.1458,2.2545
1610,2,2,4.1488,2.2469
1610,2,2,4.1521,2.2133
1610,2,2,4.1663,2.2541
1610,2,2,4.15235,2.18605
1610,2,2,4.1542,2.20465
1610,2,2,4.1544,2.213
1610,2,2,4.1591,2.2203
1610,2,2,4.155,2.2031
1610,2,2,4.1621,2.2201
1610,2,2,4.143,2.3191
1610,2,2,4.1645,2.31405
1610,2,2,4.1856,2.2873
1610,2,2,4.19,2.2569
1610,2,2,4.184,2.2618
1610,2,2,4.1856,2.2218
1610,2,2,4.1801,2.23575
1610,2,2,4.1837,2.2386
1610,2,2,4.1823,2.2226
1610,2,2,4.189,2.2967
1610,2,2,4.1862,2.3461
1610,2,2,4.1823,2.2663
1610,2,2,4.1837,2.24105
1610,2,2,4.18,2.24235
1610,2,2,4.1816,2.2144
1610,2,2,4.1813,2.2337
1610,2,2,4.1835,2.2372
1610,2,2,4.1834,2.2234
1610,2,2,4.1689,2.39305
1610,2,2,4.1654,2.32205
1610,2,2,4.18805,2.3165
1610,2,2,4.1974,2.2765
1610,2,3,4.235,2.4913
1610,2,3,4.23255,2.516
1610,2,3,4.2362,2.4795
1610,2,3,4.2303,2.4636
1610,2,3,4.2259,2.4186
1610,2,3,4.2176,2.395
1610,2,3,4.2632,2.5009
1610,2,3,4.2597,2.4914
1610,2,3,4.2531,2.468
1610,2,3,4.2552,2.453
1610,3,2,4.1277,3.7334
1610,3,2,4.1437,3.7249
1610,3,2,4.1375,3.847
1610,3,2,4.11955,3.70395
1610,3,2,4.1304,3.707
1610,3,2,4.11845,3.72325
1610,3,2,4.12315,3.68815
1610,3,2,4.1456,3.7719
1610,3,2,4.1426,3.7427
1610,3,2,4.1102,3.7599
1610,3,2,4.13155,3.8625
1610,3,2,4.1169,3.72375
1610,3,2,4.1165,3.7944
1610,3,2,4.1611,3.7343
1610,3,2,4.1706,3.7285
1610,3,2,4.1608,3.6435
1610,3,2,4.1699,3.702
1610,3,2,4.17625,3.6838
1610,3,2,4.1802,3.68905
1610,3,2,4.17685,3.6466
1610,3,2,4.1281,3.6983
1610,3,2,4.1354,3.67735
1610,3,2,4.146,3.6948
1610,3,2,4.1616,3.6701
1610,3,2,4.1497,3.73835
1610,3,2,4.1658,3.7674
1610,3,3,4.21965,4.0791
1610,3,3,4.1942,3.9357
1610,3,3,4.2382,4.00595
1610,3,3,4.2458,3.8881
1610,3,3,4.2219,3.9406
1611,1,2,4.1169,1.0338
1611,1,2,4.1217,1.03685
1611,1,2,4.1308,1.0378
1611,1,2,4.1379,1.0417
1611,1,2,4.1362,1.0326
1611,1,2,4.14055,1.03695
1611,1,2,4.1291,1.041
1611,1,2,4.141,1.0429
1611,1,2,4.1413,1.0402
1611,1,2,4.14315,1.0458
1611,1,2,4.1411,1.0425
1611,1,2,4.1396,1.04295
1611,1,2,4.1327,1.0659
1611,1,2,4.13175,1.0569
1611,1,2,4.1432,1.0589
1611,1,2,4.1483,1.0639
1611,1,2,4.1476,1.0583
1611,1,2,4.2618,1.092
1611,1,3,4.1528,1.0701
1611,1,3,4.1992,1.13975
1611,1,3,4.19905,1.14165
1611,1,3,4.2074,1.1564
1611,1,3,4.2085,1.172
1611,1,3,4.211,1.15935
1611,1,3,4.21325,1.1897
1611,1,3,4.1852,1.1095
1611,1,3,4.2052,1.1558
1611,1,3,4.2125,1.1866
1611,1,3,4.212,1.17515
1611,2,2,4.1674,1.2291
1611,2,2,4.17095,1.2269
1611,2,2,4.1913,1.2394
1611,2,2,4.2021,1.2506
1611,2,2,4.2041,1.248
1611,2,2,4.1953,1.2908
1611,2,2,4.1808,1.2377
1611,2,2,4.1882,1.2277
1611,2,2,4.19415,1.24
1611,2,2,4.208,1.2552
1611,2,2,4.2134,1.2621
1611,2,2,4.193,1.245
1611,2,2,4.20285,1.25055
1611,2,2,4.21835,1.26755
1611,2,2,4.2154,1.2565
1611,2,2,4.21835,1.26195
1611,2,2,4.1902,1.2501
1611,2,2,4.2008,1.2546
1611,2,2,4.2081,1.258
1611,2,3,4.2417,1.3595
1611,2,3,4.2608,1.38045
1611,2,3,4.2723,1.3823
1611,2,3,4.2364,1.3457
1611,2,3,4.2653,1.3872
1611,2,3,4.2653,1.3426
1611,2,3,4.2771,1.3923
1611,2,3,4.26935,1.3836
1611,2,3,4.2879,1.4028
1611,2,3,4.27115,1.37905
1611,2,3,4.2604,1.3567
1611,2,3,4.2661,1.408
1611,3,2,4.1575,1.9073
1611,3,2,4.1328,1.8349
1611,3,2,4.1312,1.82215
1611,3,2,4.1379,1.8208
1611,3,2,4.1469,1.8292
1611,3,2,4.1535,1.8258
1611,3,2,4.1355,1.8738
1611,3,2,4.12755,1.8313
1611,3,2,4.15535,1.87455
1611,3,2,4.1428,1.8201
1611,3,2,4.1513,1.8159
1611,3,2,4.1629,1.8264
1611,3,2,4.1723,1.83485
1611,3,2,4.1797,1.8378
1611,3,2,4.1772,1.8368
1611,3,2,4.1782,1.8304
1611,3,2,4.1701,1.83305
1611,3,2,4.1704,1.8237
1611,3,2,4.1797,1.838
1611,3,2,4.1725,1.8267
1611,3,2,4.1763,1.8373
1611,3,2,4.1799,1.83905
1611,3,2,4.181,1.8436
1611,3,2,4.17735,1.81
1611,3,2,4.1781,1.8389
1611,3,2,4.1824,1.8433
1611,3,2,4.1412,1.833
1611,3,2,4.155,1.84295
1611,3,2,4.1696,1.8642
1611,3,2,4.1791,1.86425
1611,3,2,4.1736,1.864
1611,3,2,4.1789,1.866
1611,3,2,4.17885,1.8605
1611,3,2,4.17765,1.8469
1611,3,2,4.1769,1.85215
1611,3,2,4.147,1.865
1611,3,2,4.1442,1.8435
1611,3,2,4.1565,1.8687
1611,3,2,4.16785,1.877
1611,3,2,4.1673,1.8653
1611,3,2,4.1716,1.8645
1611,3,3,4.193,1.99545
1611,3,3,4.218,2.0334
1611,3,3,4.2086,1.9839
1611,3,3,4.22775,2.0294
1611,3,3,4.2276,2.0267
1611,3,3,4.2494,2.0599
1611,3,3,4.2481,2.0396
1611,3,3,4.23235,1.9974
1611,3,3,4.2423,2.0301
1611,3,3,4.2311,1.9996
1611,3,3,4.22865,2.0219
1611,3,3,4.2283,1.98985
1611,3,3,4.24495,2.04935
1611,3,3,4.2482,2.06715
1611,3,3,4.21335,2.04105
1611,3,3,4.229,2.0793
1611,3,3,4.20855,1.9767
1611,3,3,4.2355,2.0647
1611,3,3,4.24405,2.09095
1611,3,3,4.247,2.0842
1611,3,3,4.24445,2.0581
1611,3,3,4.1982,2.0428
1611,3,3,4.2173,2.0546
1611,3,3,4.2309,2.0813
1612,2,2,4.2171,3.1664
1612,2,2,4.1954,3.0188
1612,2,2,4.196,2.9804
1612,2,2,4.194,2.9604
1612,2,2,4.1862,2.9798
1612,2,2,4.2019,2.97775
1612,2,2,4.2083,3.00705
1612,2,2,4.197,2.9774
1612,2,2,4.1982,2.9706
1612,2,2,4.207,2.9943
1612,2,2,4.2204,3.02405
1612,2,2,4.2113,2.978
1612,2,2,4.21455,3.0001
1612,2,2,4.1756,3.05765
1612,2,2,4.1924,3.0212
1612,2,2,4.1952,2.99285
1612,2,2,4.2041,3.0046
1612,2,2,4.21355,2.99965
1612,2,3,4.2714,3.3648
1612,2,3,4.2799,3.489
1612,2,3,4.2714,3.3674
1612,2,3,4.29385,3.4588
1612,2,3,4.2299,3.1099
1612,2,3,4.24835,3.27285
1612,2,3,4.2833,3.4773
1612,2,3,4.26965,3.34065
1612,2,3,4.29075,3.36965
1612,2,3,4.2813,3.375
1612,2,3,4.26765,3.3667
1612,2,3,4.2781,3.40685
1612,3,2,4.2273,4.5716
1612,3,2,4.2295,4.5747
1612,3,2,4.22725,4.57185
1612,3,2,4.2318,4.59145
1612,3,2,4.2172,4.6346
1612,3,2,4.21535,4.622
1612,3,2,4.2195,4.532
1612,3,2,4.2238,4.54655
1612,3,2,4.2124,4.5757
1612,3,2,4.2238,4.59585
1612,3,2,4.2272,4.57025
1612,3,2,4.2298,4.5126
1612,3,2,4.23705,4.49965
1612,3,2,4.2436,4.48535
1612,3,2,4.24865,4.49215
1612,3,2,4.2468,4.48125
1612,3,2,4.2491,4.502
1612,3,2,4.2487,4.4802
1612,3,2,4.2497,4.48305
1612,3,2,4.2501,4.4775
1612,3,2,4.2554,4.4956
1612,3,2,4.2613,4.5347
1612,3,2,4.2573,4.5042
1612,3,2,4.2579,4.496
1612,3,2,4.2563,4.5056
1612,3,2,4.2601,4.533
1612,3,2,4.2562,4.5015
1612,3,2,4.261,4.5214
1612,3,2,4.23,4.5158
1612,3,2,4.23905,4.51745
1612,3,2,4.2423,4.4881
1612,3,2,4.2505,4.4934
1612,3,2,4.256,4.5139
1612,3,2,4.2532,4.4878
1612,3,2,4.2549,4.4914
1612,3,2,4.2614,4.5166
1612,3,2,4.25215,4.47535
1612,3,2,4.2528,4.4674
1612,3,2,4.25365,4.46915
1612,3,2,4.2552,4.5274
1612,3,2,4.22005,4.43625
1612,3,2,4.22045,4.4547
1612,3,2,4.2299,4.4594
1612,3,3,4.26955,5.00345
1612,3,3,4.2699,4.96105
1612,3,3,4.2767,5.01305
1612,3,3,4.28215,4.8512
1612,3,3,4.2894,4.8984
1612,3,3,4.298,4.9266
1612,3,3,4.2968,4.9561
1612,3,3,4.2793,4.7381
1612,3,3,4.2998,4.9349
1612,3,3,4.29925,4.9662
1612,3,3,4.29935,4.8915
1612,3,3,4.30715,4.98865
1612,3,3,4.2744,4.7432
1612,3,3,4.2876,4.8185
1612,3,3,4.28815,4.7461
1612,3,3,4.2858,4.79625
1612,3,3,4.29655,4.9209
1612,3,3,4.2799,4.7942
1626,1,2,4.12145,1.55215
1626,1,2,4.1246,1.5534
1626,1,2,4.1239,1.54
1626,1,2,4.1267,1.5678
1626,1,2,4.1184,1.54
1626,1,2,4.1208,1.53
1626,1,2,4.1346,1.5561
1626,1,2,4.1204,1.5359
1626,1,2,4.1247,1.54015
1626,1,2,4.1254,1.5287
1626,1,2,4.12975,1.53305
1626,1,2,4.11455,1.5369
1626,1,2,4.1216,1.51595
1626,1,2,4.12645,1.53455
1626,1,2,4.112,1.5545
1626,1,2,4.1265,1.55635
1626,1,2,4.12065,1.54285
1626,1,2,4.1331,1.5492
1626,1,2,4.13925,1.5437
1626,1,2,4.13705,1.54195
1626,1,2,4.135,1.5427
1626,1,2,4.1263,1.5492
1626,1,2,4.1232,1.5503
1626,1,2,4.1343,1.5509
1626,1,2,4.1431,1.5631
1626,1,2,4.1462,1.5513
1626,1,2,4.14145,1.56495
1626,1,2,4.15195,1.58735
1626,1,2,4.1388,1.5504
1626,1,2,4.1385,1.5672
1626,1,2,4.1378,1.5492
1626,1,2,4.1387,1.5446
1626,1,2,4.1388,1.56175
1626,1,2,4.1248,1.5793
1626,1,2,4.1357,1.5631
1626,1,2,4.1349,1.5474
1626,1,2,4.1342,1.5415
1626,1,2,4.13595,1.5599
1626,1,2,4.1398,1.5792
1626,1,2,4.1423,1.56405
1626,1,2,4.1453,1.5553
1626,1,2,4.1438,1.5736
1626,1,2,4.1508,1.5825
1626,1,2,4.1528,1.5804
1626,1,2,4.1507,1.5833
1626,1,2,4.1536,1.5777
1626,1,2,4.1291,1.5862
1626,1,2,4.1393,1.6033
1626,1,2,4.1402,1.5935
1626,1,3,4.20285,1.69675
1626,1,3,4.1707,1.6582
1626,1,3,4.2025,1.72785
1626,1,3,4.20105,1.68395
1626,1,3,4.1893,1.6327
1626,1,3,4.2066,1.6899
1626,1,3,4.2193,1.72385
1626,1,3,4.2252,1.6672
1626,1,3,4.221,1.707
1626,1,3,4.1788,1.6868
1626,1,3,4.2109,1.7108
1626,1,3,4.2241,1.7212
1626,1,3,4.227,1.6846
1626,1,3,4.2133,1.6994
1626,1,3,4.2236,1.6962
1626,1,3,4.209,1.6883
1626,1,3,4.1913,1.6983
1626,1,3,4.219,1.7288
1626,1,3,4.20875,1.59935
1626,1,3,4.21205,1.7212
1626,1,3,4.222,1.7243
1626,1,3,4.19425,1.6392
1626,2,2,4.16295,2.75245
1626,2,2,4.1778,2.73525
1626,2,2,4.1877,2.7409
1626,2,2,4.17,2.7329
1626,2,2,4.1897,2.7471
1626,2,2,4.2142,2.7565
1626,2,2,4.2304,2.7789
1626,2,2,4.244,2.794
1626,2,2,4.2146,2.786
1626,2,2,4.221,2.76245
1626,2,2,4.2265,2.7777
1626,2,2,4.2304,2.7984
1626,2,2,4.2309,2.7984
1626,2,2,4.2369,2.8104
1626,2,2,4.1832,2.7994
1626,2,2,4.22045,2.847
1626,2,2,4.2479,2.868
1626,2,2,4.2629,2.8891
1626,2,2,4.1974,2.8517
1626,2,2,4.2153,2.85495
1626,2,2,4.2322,2.8479
1626,2,3,4.2455,3.0519
1626,2,3,4.2725,3.1661
1626,2,3,4.30575,3.2799
1626,2,3,4.3352,3.3131
1626,2,3,4.30635,3.30995
1626,2,3,4.3007,3.2683
1626,2,3,4.3184,3.3397
1626,2,3,4.31155,3.36305
1626,2,3,4.3475,3.4737
1626,3,2,4.143,2.2498
1626,3,2,4.14755,2.2992
1626,3,2,4.13695,2.2028
1626,3,2,4.1448,2.2007
1626,3,2,4.1369,2.2426
1626,3,2,4.1322,2.225
1626,3,2,4.1343,2.2518
1626,3,2,4.134,2.2202
